날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 11월 30일,172.54,176.40,180.64,170.92,10.66M,-4.19%
2021년 11월 29일,180.08,176.88,180.70,175.90,5.28M,3.58%
2021년 11월 26일,173.86,167.76,174.64,167.04,6.04M,-3.35%
2021년 11월 24일,179.89,175.63,182.78,175.00,4.76M,0.91%
2021년 11월 23일,178.27,181.14,183.73,175.25,6.43M,-1.90%
2021년 11월 22일,181.73,190.44,190.76,176.72,12.60M,-7.48%
2021년 11월 19일,196.42,196.60,199.36,190.50,8.19M,-3.87%
2021년 11월 18일,204.33,199.34,205.00,196.00,4.60M,2.62%
2021년 11월 17일,199.11,207.00,212.58,198.40,6.36M,-3.83%
2021년 11월 16일,207.04,205.59,209.93,203.47,4.35M,-0.08%
2021년 11월 15일,207.21,206.20,209.24,204.16,7.48M,0.32%
2021년 11월 12일,206.54,192.46,208.16,192.06,12.06M,7.79%
2021년 11월 11일,191.61,195.20,197.93,190.77,5.89M,-0.32%
2021년 11월 10일,192.22,190.23,195.00,189.28,6.66M,-1.26%
2021년 11월 09일,194.68,201.44,201.50,187.50,8.99M,-2.82%
2021년 11월 08일,200.32,203.35,211.34,199.75,12.77M,-0.64%
2021년 11월 05일,201.62,186.15,203.29,185.94,27.33M,12.98%
2021년 11월 04일,178.45,175.95,179.43,173.96,9.27M,3.23%
2021년 11월 03일,172.87,171.89,173.75,170.93,2.77M,0.00%
2021년 11월 02일,172.87,174.95,175.30,170.58,3.28M,-0.99%
2021년 11월 01일,174.60,170.50,175.44,170.50,4.37M,2.31%
2021년 10월 29일,170.66,171.39,171.39,168.85,2.29M,-0.61%
2021년 10월 28일,171.70,170.20,171.85,168.71,2.13M,1.54%
2021년 10월 27일,169.10,170.74,172.65,168.88,3.01M,-1.19%
2021년 10월 26일,171.14,170.40,172.00,167.90,2.93M,1.12%
2021년 10월 25일,169.24,166.69,170.33,166.65,2.61M,1.56%
2021년 10월 22일,166.64,169.30,169.44,165.16,2.99M,-2.26%
2021년 10월 21일,170.50,169.07,171.53,167.70,2.87M,0.44%
2021년 10월 20일,169.76,170.06,171.94,168.20,2.62M,-0.57%
2021년 10월 19일,170.74,172.57,172.81,170.06,2.78M,-0.92%
2021년 10월 18일,172.32,167.50,172.70,167.11,2.76M,1.86%
2021년 10월 15일,169.18,171.90,172.95,168.58,3.59M,-0.77%
2021년 10월 14일,170.50,175.24,176.75,170.04,4.13M,-1.77%
2021년 10월 13일,173.58,173.00,175.19,171.80,3.52M,0.48%
2021년 10월 12일,172.75,172.69,175.90,171.23,6.03M,3.65%
2021년 10월 11일,166.67,170.00,171.54,166.63,2.04M,-1.94%
2021년 10월 08일,169.97,170.10,174.10,169.48,2.27M,0.22%
2021년 10월 07일,169.60,170.00,171.27,168.60,2.11M,1.41%
2021년 10월 06일,167.25,161.39,167.32,160.63,2.44M,1.52%
2021년 10월 05일,164.74,165.67,166.59,162.43,4.33M,0.15%
2021년 10월 04일,164.50,171.99,172.26,164.03,4.44M,-4.92%
2021년 10월 01일,173.01,170.31,173.20,168.55,4.96M,3.14%
2021년 09월 30일,167.75,168.10,169.50,165.71,2.58M,-0.19%
2021년 09월 29일,168.07,170.10,171.22,166.55,2.78M,-0.30%
2021년 09월 28일,168.58,172.52,173.56,166.90,4.34M,-3.26%
2021년 09월 27일,174.26,175.00,176.32,172.02,3.53M,-0.92%
2021년 09월 24일,175.88,174.53,176.96,173.61,4.08M,0.43%
2021년 09월 23일,175.13,171.55,176.00,170.50,5.36M,3.04%
2021년 09월 22일,169.96,170.03,171.81,167.37,4.35M,0.40%
2021년 09월 21일,169.29,164.00,170.01,162.96,8.58M,4.73%
2021년 09월 20일,161.64,162.24,166.54,159.45,6.77M,-2.97%
2021년 09월 17일,166.59,169.30,170.00,163.61,20.02M,-0.93%
2021년 09월 16일,168.15,165.26,169.45,165.04,6.08M,1.07%
2021년 09월 15일,166.37,162.32,166.63,160.49,5.65M,1.88%
2021년 09월 14일,163.30,160.66,164.70,159.41,4.65M,1.86%
2021년 09월 13일,160.32,160.25,162.99,154.79,7.51M,-2.95%
2021년 09월 10일,165.20,166.95,168.24,165.01,3.99M,-0.48%
2021년 09월 09일,166.00,163.00,166.97,160.83,5.92M,1.26%
2021년 09월 08일,163.93,163.23,166.55,161.60,5.85M,-0.65%
2021년 09월 07일,165.00,159.72,165.74,159.55,10.99M,4.43%
2021년 09월 03일,158.00,158.05,160.64,157.20,4.46M,0.51%
2021년 09월 02일,157.20,156.50,159.46,156.50,3.29M,0.39%
2021년 09월 01일,156.59,154.84,158.64,154.29,4.32M,1.03%
2021년 08월 31일,154.99,155.94,158.15,153.58,7.36M,-0.66%
2021년 08월 30일,156.02,154.41,157.49,151.92,3.96M,1.19%
2021년 08월 27일,154.18,152.25,156.44,151.45,4.82M,0.95%
2021년 08월 26일,152.73,159.34,159.50,151.45,7.22M,-4.75%
2021년 08월 25일,160.35,158.76,163.06,158.00,7.26M,-0.66%
2021년 08월 24일,161.42,147.00,161.98,146.50,21.98M,9.97%
2021년 08월 23일,146.79,144.90,147.63,144.15,4.70M,2.15%
2021년 08월 20일,143.70,142.00,143.95,141.50,3.00M,0.74%
2021년 08월 19일,142.65,143.79,145.28,141.92,4.72M,-2.79%
2021년 08월 18일,146.74,144.02,148.68,141.70,5.19M,1.97%
2021년 08월 17일,143.90,145.00,148.20,143.58,7.86M,-3.14%
2021년 08월 16일,148.57,151.99,152.03,144.90,7.72M,-2.74%
2021년 08월 13일,152.76,146.66,152.76,144.51,16.79M,1.07%
2021년 08월 12일,151.15,148.86,151.68,146.55,8.93M,2.02%
2021년 08월 11일,148.16,147.54,149.28,145.16,6.60M,0.14%
2021년 08월 10일,147.95,149.37,150.66,147.86,5.15M,-1.00%
2021년 08월 09일,149.44,148.86,150.99,148.85,5.54M,-0.37%
2021년 08월 06일,149.99,148.99,150.19,147.55,4.04M,-0.22%
2021년 08월 05일,150.32,146.93,150.40,146.45,4.74M,1.98%
2021년 08월 04일,147.40,145.10,147.41,145.10,4.63M,1.20%
2021년 08월 03일,145.65,147.20,147.62,143.35,5.49M,0.11%
2021년 08월 02일,145.49,143.97,146.27,143.50,4.52M,1.03%
2021년 07월 30일,144.01,141.80,144.68,141.80,4.17M,0.38%
2021년 07월 29일,143.47,144.22,145.00,141.78,5.01M,0.12%
2021년 07월 28일,143.30,141.31,143.73,141.06,4.47M,1.21%
2021년 07월 27일,141.58,141.00,142.50,138.33,5.11M,-0.30%
2021년 07월 26일,142.00,139.09,142.17,137.24,6.49M,2.36%
2021년 07월 23일,138.73,139.80,140.00,137.41,2.81M,-0.53%
2021년 07월 22일,139.47,141.29,141.29,137.66,4.63M,0.16%
2021년 07월 21일,139.25,136.71,140.15,135.72,5.27M,2.32%
2021년 07월 20일,136.09,132.75,137.44,131.70,6.27M,3.19%
2021년 07월 19일,131.88,131.36,133.77,130.31,7.22M,-1.81%
2021년 07월 16일,134.31,139.69,139.79,133.51,6.09M,-2.32%
2021년 07월 15일,137.50,139.17,140.48,136.54,6.58M,-1.14%
2021년 07월 14일,139.09,144.05,144.09,139.05,8.55M,-3.01%
2021년 07월 13일,143.41,147.32,147.32,143.18,5.87M,-2.24%
2021년 07월 12일,146.69,148.99,150.42,146.01,3.25M,-1.97%
2021년 07월 09일,149.64,143.30,150.26,143.30,7.07M,4.99%
2021년 07월 08일,142.53,140.52,143.72,139.94,4.83M,-0.83%
2021년 07월 07일,143.72,148.18,148.73,143.65,5.65M,-3.13%
2021년 07월 06일,148.37,150.37,152.80,147.87,5.07M,-1.24%
2021년 07월 02일,150.23,153.31,154.95,149.56,4.84M,-1.86%
2021년 07월 01일,153.08,154.14,157.38,151.49,9.79M,-0.04%
2021년 06월 30일,153.14,145.20,154.09,144.56,9.80M,4.83%
2021년 06월 29일,146.08,149.75,149.94,145.77,7.48M,-2.57%
2021년 06월 28일,149.94,148.71,150.89,147.31,6.45M,0.18%
2021년 06월 25일,149.67,151.23,153.17,149.28,6.45M,-0.70%
2021년 06월 24일,150.73,152.90,153.51,149.87,8.17M,-0.56%
2021년 06월 23일,151.58,148.82,154.58,147.95,9.34M,1.27%
2021년 06월 22일,149.68,149.77,151.50,148.40,5.79M,-0.01%
2021년 06월 21일,149.70,152.52,152.61,145.83,8.04M,-1.85%
2021년 06월 18일,152.52,150.38,154.80,149.50,11.63M,1.21%
2021년 06월 17일,150.70,149.34,152.29,149.34,8.17M,1.04%
2021년 06월 16일,149.15,150.93,152.35,147.12,9.63M,-1.73%
2021년 06월 15일,151.78,149.20,153.74,148.84,11.94M,1.72%
2021년 06월 14일,149.21,149.25,149.50,146.90,6.11M,0.52%
2021년 06월 11일,148.44,145.87,148.95,145.20,4.82M,1.59%
2021년 06월 10일,146.12,141.38,147.43,141.10,9.48M,0.88%
2021년 06월 09일,144.85,148.46,149.15,144.51,5.61M,-1.47%
