날짜,종가,오픈,고가,저가,거래량,변동 %
2020년 06월 03일,1725.97,1704.03,1743.84,1694.29,597.67K,4.29%
2020년 06월 02일,1655.00,1686.40,1690.50,1653.90,513.73K,-0.94%
2020년 06월 01일,1670.70,1644.10,1683.60,1643.30,491.03K,1.91%
2020년 05월 29일,1639.42,1657.00,1657.00,1618.43,696.83K,-0.58%
2020년 05월 28일,1649.00,1695.60,1704.50,1645.00,664.24K,-2.93%
2020년 05월 27일,1698.70,1775.90,1782.90,1693.00,1.02M,-2.76%
2020년 05월 26일,1746.90,1725.00,1763.50,1694.20,1.20M,7.09%
2020년 05월 22일,1631.30,1591.74,1637.29,1584.65,574.74K,2.23%
2020년 05월 21일,1595.68,1605.00,1623.44,1575.79,623.70K,-0.22%
2020년 05월 20일,1599.20,1583.00,1605.50,1582.50,700.10K,3.33%
2020년 05월 19일,1547.60,1567.50,1597.80,1545.00,828.45K,-0.63%
2020년 05월 18일,1557.40,1439.50,1580.00,1431.70,1.32M,12.50%
2020년 05월 15일,1384.30,1376.10,1408.10,1376.10,632.65K,0.13%
2020년 05월 14일,1382.50,1353.40,1387.40,1303.20,708.83K,1.20%
2020년 05월 13일,1366.07,1379.34,1388.92,1336.32,780.31K,-1.43%
2020년 05월 12일,1385.92,1401.09,1413.98,1385.11,507.21K,-1.78%
2020년 05월 11일,1411.00,1427.02,1428.97,1403.12,564.80K,-1.39%
2020년 05월 08일,1430.83,1440.99,1444.25,1366.10,877.66K,-0.91%
2020년 05월 07일,1443.91,1392.26,1448.59,1382.00,655.63K,4.71%
2020년 05월 06일,1378.91,1397.46,1416.35,1356.00,526.76K,-1.03%
2020년 05월 05일,1393.20,1443.25,1446.36,1383.85,425.87K,-1.42%
2020년 05월 04일,1413.30,1415.73,1445.32,1388.51,471.39K,-2.45%
2020년 05월 01일,1448.79,1442.75,1460.30,1415.31,458.53K,-2.15%
2020년 04월 30일,1480.57,1514.53,1520.42,1464.78,451.16K,-2.63%
2020년 04월 29일,1520.53,1487.83,1527.73,1473.30,703.09K,5.64%
2020년 04월 28일,1439.32,1434.20,1463.65,1410.80,613.50K,2.59%
2020년 04월 27일,1402.99,1374.93,1411.23,1371.04,456.94K,2.95%
2020년 04월 24일,1362.77,1372.39,1374.58,1338.66,334.49K,0.20%
2020년 04월 23일,1360.00,1354.05,1388.99,1350.79,372.90K,0.37%
2020년 04월 22일,1355.00,1365.01,1379.99,1342.00,356.74K,0.95%
2020년 04월 21일,1342.22,1382.81,1387.73,1317.40,652.73K,-4.92%
2020년 04월 20일,1411.63,1462.05,1470.00,1410.00,459.17K,-4.03%
2020년 04월 17일,1470.87,1469.00,1484.66,1450.19,691.25K,4.51%
2020년 04월 16일,1407.40,1432.35,1432.35,1391.02,488.40K,-1.21%
2020년 04월 15일,1424.61,1407.84,1440.00,1390.67,452.84K,-1.71%
2020년 04월 14일,1449.42,1460.09,1469.96,1424.00,579.15K,2.00%
2020년 04월 13일,1421.01,1413.19,1428.01,1368.39,404.41K,0.03%
2020년 04월 09일,1420.64,1424.76,1450.00,1403.00,1.03M,3.54%
2020년 04월 08일,1372.06,1382.65,1428.72,1360.01,781.04K,-0.31%
