날짜,종가,오픈,고가,저가,거래량,변동 %
2021년 02월 18일,156.73,150.84,157.41,150.43,2.92M,1.75%
2021년 02월 17일,154.04,146.11,155.50,145.09,4.74M,4.19%
2021년 02월 16일,147.84,146.27,148.84,143.23,4.30M,0.91%
2021년 02월 12일,146.51,148.37,151.70,145.58,5.38M,-2.27%
2021년 02월 11일,149.91,148.81,153.26,147.01,3.37M,0.68%
2021년 02월 10일,148.90,146.25,151.85,145.54,3.43M,3.06%
2021년 02월 09일,144.48,144.50,145.91,143.19,2.61M,-0.65%
2021년 02월 08일,145.42,142.39,146.03,142.39,2.52M,2.84%
2021년 02월 05일,141.40,143.33,145.67,140.29,2.06M,-0.36%
2021년 02월 04일,141.91,141.93,142.88,140.12,2.08M,2.48%
2021년 02월 03일,138.48,137.43,141.15,137.20,3.34M,1.73%
2021년 02월 02일,136.13,129.17,136.73,129.00,4.93M,6.94%
2021년 02월 01일,127.30,126.00,129.39,125.95,5.91M,2.58%
2021년 01월 29일,124.10,124.94,126.34,120.42,4.60M,-2.08%
2021년 01월 28일,126.74,125.42,130.10,125.10,8.11M,2.87%
2021년 01월 27일,123.21,127.02,130.49,118.31,7.24M,-6.30%
2021년 01월 26일,131.50,137.37,137.37,130.08,2.98M,-3.30%
2021년 01월 25일,135.99,135.15,138.50,126.34,7.25M,-0.39%
2021년 01월 22일,136.52,139.82,140.33,136.44,2.70M,-1.70%
2021년 01월 21일,138.88,142.88,142.88,136.01,3.17M,-2.02%
2021년 01월 20일,141.75,141.66,144.10,138.40,2.29M,-0.75%
2021년 01월 19일,142.82,142.54,143.69,140.23,1.79M,1.51%
2021년 01월 15일,140.69,144.00,144.35,140.11,1.67M,-2.41%
2021년 01월 14일,144.17,141.12,146.41,141.12,2.66M,2.53%
2021년 01월 13일,140.61,140.20,141.04,138.35,1.97M,-0.24%
2021년 01월 12일,140.95,142.85,144.05,140.86,1.51M,-1.41%
2021년 01월 11일,142.96,140.30,144.50,140.18,1.47M,-0.74%
2021년 01월 08일,144.02,143.40,144.75,141.05,1.48M,1.22%
2021년 01월 07일,142.29,143.89,144.44,140.00,2.17M,-0.79%
2021년 01월 06일,143.42,138.05,147.55,137.10,4.56M,4.58%
2021년 01월 05일,137.14,131.48,137.89,131.48,3.49M,4.39%
2021년 01월 04일,131.37,134.56,135.64,128.46,3.47M,-0.78%
2020년 12월 31일,132.40,132.11,133.69,130.28,1.46M,0.21%
2020년 12월 30일,132.12,132.00,133.05,130.88,1.22M,0.62%
2020년 12월 29일,131.30,128.82,132.29,128.28,2.17M,2.19%
2020년 12월 28일,128.48,127.81,130.30,127.21,1.65M,1.20%
2020년 12월 24일,126.96,126.94,127.43,125.75,564.08K,0.37%
2020년 12월 23일,126.49,123.76,128.13,123.18,1.35M,2.71%
2020년 12월 22일,123.15,124.08,126.11,122.50,2.18M,-0.17%
2020년 12월 21일,123.36,121.78,124.69,120.15,2.56M,-1.74%
2020년 12월 18일,125.54,125.20,127.46,122.40,7.92M,0.85%
2020년 12월 17일,124.48,125.66,125.66,122.34,2.92M,-0.40%
2020년 12월 16일,124.98,126.49,126.49,122.82,2.66M,-0.81%
2020년 12월 15일,126.00,124.02,126.62,123.50,2.22M,2.16%
2020년 12월 14일,123.33,124.46,125.00,122.23,2.77M,0.25%
2020년 12월 11일,123.02,129.52,129.66,122.74,4.99M,-5.71%
2020년 12월 10일,130.47,125.75,134.06,125.75,4.57M,1.27%
2020년 12월 09일,128.84,127.73,132.80,125.77,3.47M,2.03%
2020년 12월 08일,126.28,125.60,127.37,124.07,1.69M,-0.19%
2020년 12월 07일,126.52,127.92,127.92,124.70,1.77M,-1.60%
2020년 12월 04일,128.58,128.19,128.78,125.25,2.02M,0.97%
2020년 12월 03일,127.35,128.68,129.88,126.73,1.71M,-0.41%
2020년 12월 02일,127.87,124.81,129.42,124.52,1.73M,1.31%
2020년 12월 01일,126.22,126.79,128.31,125.17,1.98M,1.39%
2020년 11월 30일,124.49,123.99,125.29,121.49,2.79M,0.61%
2020년 11월 27일,123.73,124.00,125.68,122.46,840.79K,0.45%
2020년 11월 25일,123.18,124.25,124.38,121.80,1.34M,-1.50%
2020년 11월 24일,125.05,125.62,125.63,123.00,2.62M,1.83%
2020년 11월 23일,122.80,121.18,124.95,120.12,2.29M,2.42%
2020년 11월 20일,119.90,123.45,123.66,119.77,2.94M,-3.28%
2020년 11월 19일,123.96,121.67,124.06,120.11,2.05M,1.18%
2020년 11월 18일,122.52,123.10,126.08,122.01,1.97M,-0.41%
2020년 11월 17일,123.03,122.58,123.78,121.13,1.93M,-0.43%
2020년 11월 16일,123.56,128.94,128.94,122.50,3.14M,0.09%
2020년 11월 13일,123.45,119.10,124.97,118.30,3.64M,5.06%
2020년 11월 12일,117.50,118.21,119.90,115.69,3.19M,-1.84%
2020년 11월 11일,119.70,120.30,123.39,118.64,3.71M,-2.48%
2020년 11월 10일,122.75,124.99,126.75,119.74,7.44M,-4.58%
2020년 11월 09일,128.64,119.49,130.51,119.49,19.31M,24.57%
2020년 11월 06일,103.27,102.00,104.32,100.80,1.93M,0.16%
2020년 11월 05일,103.10,102.01,106.74,100.52,4.46M,4.67%
2020년 11월 04일,98.50,99.24,100.72,97.17,3.81M,-0.30%
2020년 11월 03일,98.80,95.95,99.75,95.51,2.64M,4.31%
2020년 11월 02일,94.72,95.05,95.23,92.56,2.57M,0.61%
2020년 10월 30일,94.15,94.88,95.26,92.71,2.12M,-1.12%
2020년 10월 29일,95.22,91.19,95.91,90.52,1.73M,3.69%
2020년 10월 28일,91.83,92.80,93.85,90.77,2.78M,-3.41%
2020년 10월 27일,95.07,98.09,98.47,94.48,1.91M,-3.98%
2020년 10월 26일,99.01,100.99,101.48,96.22,2.31M,-3.61%
2020년 10월 23일,102.72,101.00,103.06,100.26,2.63M,1.66%
2020년 10월 22일,101.04,93.06,102.09,92.63,4.71M,9.00%
2020년 10월 21일,92.70,92.44,93.32,91.62,1.06M,-0.28%
2020년 10월 20일,92.96,92.92,95.42,92.55,2.10M,0.89%
2020년 10월 19일,92.14,91.87,93.13,91.45,2.08M,1.58%
2020년 10월 16일,90.71,91.06,91.76,89.95,2.20M,0.53%
2020년 10월 15일,90.23,90.74,91.01,87.94,3.39M,-2.35%
2020년 10월 14일,92.40,94.55,95.61,92.36,2.35M,-2.04%
2020년 10월 13일,94.32,96.88,96.88,93.73,1.79M,-3.10%
2020년 10월 12일,97.34,97.22,98.43,96.77,1.55M,1.08%
2020년 10월 09일,96.30,97.22,97.49,95.10,1.30M,0.36%
2020년 10월 08일,95.95,93.78,96.04,93.08,1.27M,2.63%
2020년 10월 07일,93.49,93.73,94.27,92.43,1.41M,1.76%
2020년 10월 06일,91.87,92.75,95.56,91.50,2.15M,-0.31%
2020년 10월 05일,92.16,93.10,93.47,90.90,1.29M,0.08%
2020년 10월 02일,92.09,89.21,92.51,88.42,1.89M,0.03%
2020년 10월 01일,92.06,92.01,94.62,91.98,2.43M,0.40%
2020년 09월 30일,91.69,92.30,93.87,90.42,2.29M,-0.10%
2020년 09월 29일,91.78,94.04,94.05,91.06,2.21M,-2.66%
2020년 09월 28일,94.29,93.45,95.23,91.85,2.24M,0.77%
2020년 09월 25일,93.57,91.04,93.89,90.38,2.15M,1.65%
2020년 09월 24일,92.05,91.00,93.95,89.97,1.87M,0.14%
2020년 09월 23일,91.92,93.38,95.30,91.68,1.87M,-2.16%
2020년 09월 22일,93.95,91.70,94.19,90.67,2.41M,2.91%
2020년 09월 21일,91.29,91.04,92.08,89.86,3.20M,-2.68%
2020년 09월 18일,93.80,97.31,97.31,92.97,3.52M,-3.09%
2020년 09월 17일,96.79,97.13,98.00,94.45,2.13M,-2.26%
2020년 09월 16일,99.03,97.75,101.37,97.26,1.95M,1.67%
2020년 09월 15일,97.40,96.21,99.26,96.18,1.56M,1.54%
2020년 09월 14일,95.92,95.97,96.46,94.72,2.14M,1.25%
2020년 09월 11일,94.74,96.25,96.59,92.12,3.02M,-2.57%
2020년 09월 10일,97.24,99.50,101.14,97.15,2.22M,-2.01%
2020년 09월 09일,99.23,99.11,99.72,97.00,2.07M,-0.04%
2020년 09월 08일,99.27,98.07,100.77,97.48,1.79M,-0.53%
2020년 09월 04일,99.80,101.12,102.29,97.08,3.35M,-0.49%
2020년 09월 03일,100.29,102.38,104.02,99.29,3.89M,-2.57%
2020년 09월 02일,102.94,100.46,103.47,99.35,3.81M,3.72%
2020년 09월 01일,99.25,97.60,99.33,96.69,1.94M,1.12%
2020년 08월 31일,98.15,101.00,101.00,98.15,2.82M,-2.72%
2020년 08월 28일,100.89,98.73,101.45,97.90,3.02M,3.23%
2020년 08월 27일,97.73,96.25,98.44,95.79,2.77M,2.75%
2020년 08월 26일,95.11,96.10,96.80,94.95,2.10M,-1.36%
2020년 08월 25일,96.42,95.46,96.63,93.49,2.38M,1.01%
2020년 08월 24일,95.46,92.04,95.92,91.59,4.11M,4.79%
2020년 08월 21일,91.10,88.23,91.30,87.97,2.58M,2.74%
2020년 08월 20일,88.67,86.97,89.21,86.76,1.25M,1.13%
2020년 08월 19일,87.68,88.14,88.78,87.00,2.43M,-0.93%
2020년 08월 18일,88.50,87.05,88.69,86.73,1.74M,0.91%
2020년 08월 17일,87.70,87.37,87.78,85.67,1.91M,1.12%
2020년 08월 14일,86.73,86.56,86.99,85.44,1.83M,-0.28%
2020년 08월 13일,86.97,86.79,88.74,86.15,1.59M,0.02%
2020년 08월 12일,86.95,88.35,88.55,85.78,1.94M,-1.33%
2020년 08월 11일,88.12,87.60,90.69,87.42,4.14M,3.78%
2020년 08월 10일,84.91,83.11,86.37,83.10,2.58M,2.85%
2020년 08월 07일,82.56,83.48,84.05,80.89,3.20M,-1.96%
2020년 08월 06일,84.21,81.84,85.57,81.63,3.16M,1.97%
2020년 08월 05일,82.58,80.96,82.79,80.53,2.76M,3.56%
2020년 08월 04일,79.74,79.86,81.40,79.07,4.30M,-0.28%
2020년 08월 03일,79.96,81.00,82.27,79.44,3.51M,-1.30%
2020년 07월 31일,81.01,80.83,81.32,76.75,10.89M,-4.62%
2020년 07월 30일,84.93,83.91,85.08,81.48,2.68M,-0.46%
2020년 07월 29일,85.32,84.01,85.67,82.27,1.86M,1.96%
