,hotel,star,review,date,date
78,라까사 호텔 서울,5,푹 잘 쉬다 왔습니다.,2021. 05. 16,2021. 05. 16
79,라까사 호텔 서울,4,인테리어도 깔끔하고 이쁘고 침대도 좋았지만 샤워실 물이 잘 안빠지네요😅 그거 말고는 다 좋았어요~~,2021. 05. 11,2021. 05. 11
80,라까사 호텔 서울,4,깔끌하고 깨끗함,2021. 05. 09,2021. 05. 09
81,라까사 호텔 서울,4,"위치 좋고, 발렛파킹 비용 비교적 저렴합니다. 내부도 깔끔하고 좋아요. 좋은 인상만 남기고 있던도중
술만 마시려고 방잡은 옆방 때문에 단점 발견.
방음이 잘 안됩니다. 옆방이 새벽까지 술마시고 큰소리 내면 다 들려요. 심지어 쿵쿵 하면 제가 있는 객실도 진동이 울려요. 술만 마시러 온것 같은 무리는 구석으로 몰아주세요ㅜ 호캉스 할때 단 하나의 단점 입니다.",2021. 05. 08,2021. 05. 08
82,라까사 호텔 서울,4,가로수길 가까워서 좋아요,2021. 05. 08,2021. 05. 08
83,라까사 호텔 서울,5,Always the best,2021. 05. 07,2021. 05. 07
84,라까사 호텔 서울,5,두번째 방문인데 너무 좋았어요 룸 컨디션도 좋고 위치도 좋고 최고입니다,2021. 05. 07,2021. 05. 07
85,라까사 호텔 서울,5,잘쉬다갑니다,2021. 05. 05,2021. 05. 05
86,라까사 호텔 서울,5,깔끔하고 넓은 편이고 다 좋은데 온수틀면 꽤 오래 지나야 나오고 수압이 약했어요.호텔 인테리어가 너무 이쁘고 입구에 꽃도 이뻐서 기분 좋았습니다,2021. 05. 03,2021. 05. 03
87,라까사 호텔 서울,3,"객실은 청결했지만 개인적으로 안좋아하는 바닥 카펫, 타일 마감이였어요ㅠㅠ

방음이 너무 안되는 곳이라 옆방에 시끄러운 분들이 계셔서 프론트에 문의했더니 바로 방 옮겨주셨습니다^^

5층 객실은 천고가 높아 4층 방과 크기는 비슷했지만 더 공간감이 있어보였습니다.더보기",2021. 05. 01,2021. 05. 01
88,라까사 호텔 서울,5,항상 아늑,2021. 04. 28,2021. 04. 28
89,라까사 호텔 서울,5,"방은 랜덤 배정이라 조금씩 컨디션이 달라요
직원분들은 매우 친절합니다",2021. 04. 23,2021. 04. 23
90,라까사 호텔 서울,5,편안히 잘 머물다 왔어요~ 편의성과 카페 및 맛집들 위치접근성도 완전 좋았어요!!,2021. 04. 23,2021. 04. 23
91,라까사 호텔 서울,5,깔끔하고 좋았습니다.,2021. 04. 22,2021. 04. 22
92,라까사 호텔 서울,5,좋습니다~~,2021. 04. 19,2021. 04. 19
93,라까사 호텔 서울,5,가로수길 근처 위치가넘조아요 방도깨끗,2021. 04. 18,2021. 04. 18
94,라까사 호텔 서울,4,기대이상이에요~,2021. 04. 12,2021. 04. 12
95,라까사 호텔 서울,5,"깔끔하고 한적해서 좋았어요
가로수길도 가깝고 좋아요",2021. 04. 09,2021. 04. 09
96,라까사 호텔 서울,5,걱정했는데 방음도 잘 되었던거 같고 일요일이라 그런지 조용했어요..!! 깔끔한 룸컨디션과 교통편도 괜찮구 조금만 나가면 번화가라 위치도 좋아요.!! 재방문의사 있습니다:),2021. 04. 06,2021. 04. 06
97,라까사 호텔 서울,5,Cozy and nice,2021. 04. 03,2021. 04. 03
98,라까사 호텔 서울,5,친절하고 방 이쁘고 좋습니다,2021. 03. 27,2021. 03. 27
99,라까사 호텔 서울,5,좋아요! 경치도 좋구요,2021. 03. 27,2021. 03. 27
100,라까사 호텔 서울,5,숙소도 깔끔하고 룸서비스도 맛있어요,2021. 03. 19,2021. 03. 19
101,라까사 호텔 서울,5,코너룸 배정을 못받아 아쉬웠지만 늘 그렇듯 만족스럽습니다,2021. 03. 16,2021. 03. 16
102,라까사 호텔 서울,4,방이쪼금넓음,2021. 03. 16,2021. 03. 16
103,라까사 호텔 서울,5,2번째 방문인데 깨끗하고 깔끔해서 좋아요,2021. 03. 16,2021. 03. 16
104,라까사 호텔 서울,5,다음에 또 갈께요,2021. 03. 13,2021. 03. 13
105,라까사 호텔 서울,5,좋아요~~~,2021. 03. 08,2021. 03. 08
106,라까사 호텔 서울,5,아주 깔끔하고 사용하기 편했습니다~,2021. 03. 08,2021. 03. 08
107,라까사 호텔 서울,5,맘에 쏙들어요,2021. 03. 07,2021. 03. 07
108,라까사 호텔 서울,5,좋았어요숙소깨끗하고,2021. 03. 06,2021. 03. 06
109,라까사 호텔 서울,5,좋았습니다~,2021. 03. 06,2021. 03. 06
110,라까사 호텔 서울,5,빠른 체크인 체크아웃 서비스와 청결한 방 컨디션이 인상깊었습니다!,2021. 03. 03,2021. 03. 03
111,라까사 호텔 서울,5,기대보다 좋았어요 뷰는 방마다 복불복인듯요,2021. 02. 27,2021. 02. 27
112,라까사 호텔 서울,5,쾌적하고 이스트보다는 웨스트가 정말 좋았습니다,2021. 02. 27,2021. 02. 27
113,라까사 호텔 서울,5,좋았습니다,2021. 02. 26,2021. 02. 26
114,라까사 호텔 서울,5,"객실이 되게 깨끗하고 디자인이 좋았어요. 천장이 높고, 블루투스 스피커가 비치되어 있던 것도 매우 좋았습니다! 재방문의사 많아요🙋🏻‍♂️",2021. 02. 21,2021. 02. 21
115,라까사 호텔 서울,5,침구류 및 기본 시설이 좋았습니다 재방문의사있어요,2021. 02. 21,2021. 02. 21
116,라까사 호텔 서울,5,굿우우우우우웃,2021. 02. 15,2021. 02. 15
117,라까사 호텔 서울,5,직장과 가까워서 자주 이용합니다~,2021. 02. 14,2021. 02. 14
118,라까사 호텔 서울,4,집같고 편아뇄어요,2021. 02. 13,2021. 02. 13
119,라까사 호텔 서울,5,집같고좋았어요,2021. 02. 13,2021. 02. 13
